index,Address,Categories,City,Cuisines,Menu,Restaurants,Zip Code,Province,$,$$$
34414,4817 Mission St,"Mexican Restaurant,Burrito Place,Mexican Restaurant and Burrito Place,Latin American Restaurants,Mexican Restaurant and Burrito Place Cayuga,Restaurants,Breakfast Brunch & Lunch Restaurants,,restaurant,Mexican Restaurants,Seafood Restaurants",San Francisco,Latin American Restaurants,Tacos,Taquerias El Farolito,94112,CA,0,25
35684,1208 S University Ave,"Burrito Place,Taco Place,Restaurants,Burrito Place and Taco Place,Burrito Place and Taco Place Downtown Ann Arbor,Mexican Restaurants",Ann Arbor,Mexican Restaurants,Tacos,Pancheros Mexican Grill,48104,MI,0,25
35950,8 Monarch Bay Plz,"Mexican Restaurant,Latin American Restaurants,Restaurants,Mexican Restaurants",Dana Point,Mexican Restaurants,Tacos,Besame Mexican Grill,92629,CA,25,40
36590,2500 Brundage Ln,"Mexican Restaurant,Mexican Foods,Caterers,Restaurants,Take Out,Catering,Mexican Restaurants",Bakersfield,Mexican,Tacos,Los Molcajetes,93304,CA,25,40
36605,13333 South St,Mexican Restaurant,Cerritos,"Mexican, Latin American",Tacos,Amor y Tacos,90703,CA,25,40
36606,13333 South St,Mexican Restaurant,Cerritos,"Mexican, Latin American",Tacos,Amor y Tacos,90703,CA,25,40
36937,1209 E 4th St,Mexican Restaurant,Ontario,Take Out Restaurants,Tacos,Juanita's III,91764,CA,0,25
37645,2820 Greenville Ave,"Restaurants,Community & Civic Organizations,Mexican Restaurant",Dallas,Mexican,Tacos,Quesa-D-Ya's,75206,TX,25,40
38314,660 K St,Restaurant,San Diego,"Californian, Contemporary American, American",Tacos,Soleil @k - San Diego Marriott Gaslamp,92101,CA,31,50
38967,2950 24th St,"Mexican Restaurant,Burrito Place,Mexican Restaurant and Burrito Place",San Francisco,Mexican,Tacos,Taquerias El Farolito,94110,CA,0,25
38987,7710 Forsyth Blvd,Restaurant,Saint Louis,Mexican,Tacos,Cantina Laredo - Clayton,63105,MO,0,30
39642,13226 Rosecrans Ave,"Mexican Restaurant,Norwalk Restaurants",Norwalk,Mexican,Tacos,Marquez - Norwalk,90650,CA,25,40
39840,11 S Main St,"Bar,American Restaurant,Mexican Restaurant",Hartford,Bars,Tacos,Hank's Restaurant & Drinkery,53027,WI,25,40
39946,1520 W Main St,"Mexican Restaurant,Bar,Mexican Restaurant and Bar",Richmond,Latin American Restaurants,Tacos,Baja Bean Co.,23220,VA,25,40
40157,514 S Boston Ave,"Mexican Restaurant,Mexican Restaurant Downtown Tulsa",Tulsa,Take Out Restaurants,Tacos,Elote Cafe & Catering,74103,OK,0,25
40283,818 Lincoln Ave,"Bar,Mexican Restaurant,Bar and Mexican Restaurant,Steamboat Springs Restaurants",Steamboat Springs,Mexican,Tacos,Cantina Steamboat,80487,CO,15,30
40443,25 Knob Rd,"Spanish Restaurant and Mexican Restaurant,Spanish Restaurant,Mexican Restaurant",Mount Pocono,Latin American Restaurants,Tacos,Mi Casa Restaurant,18344,PA,25,40
40801,9 W Hubbard St,"Lounge,Lounge, Sports Bar, and New American Restaurant,New American Restaurant,Sports Bar,Restaurant",Chicago,"Contemporary American, Comfort Food,Comfort Food, Contemporary American",Tacos,Theory Chicago,60654,IL,25,40
41272,201 W 3rd St,Restaurant,Austin,Mexican,Tacos,Cantina Laredo - Austin,78701,TX,0,30
41463,75 W Main St,"Mexican Restaurant,Restaurants",Webster,Mexican,Tacos,Maria's Mexican Restaurant,14580,NY,25,40
42008,2397 Lincoln Ave,"Mexican Restaurant,Restaurant,Restaurants",Altadena,"Latin American Restaurants,Mexican",Tacos,Mota's Mexican Restaurant,91001,CA,0,25
42475,514 8th St SE,"Belgian Restaurant,Restaurant,Washington Washington",Washington,"Belgian, Dessert, European,Southwestern, Mexican",Tacos,Belga Cafe,20003,DC,25,40
42698,101 E Tiverton Way,"Mexican Restaurant,Burrito Place",Lexington,Take Out Restaurants,Tacos,Qdoba Mexican Grill,40517,KY,0,25
44176,1225 W Century Ave,Restaurants,Bismarck,"Southwestern,Mexican",Tacos,Pancheros Mexican Grill,58503,ND,25,40
44682,1031 Germantown Ave,"Sports Bar,American Restaurant,Mediterranean Restaurants,Bars,American Restaurants,Restaurants,Sports Bars,Italian Restaurants,Family Style Restaurants,Bar & Grills,Taverns",Philadelphia,American Restaurants,Tacos,King's Oak,19123,PA,25,40
44754,8419 Park Meadows Center Dr,Restaurant,Lone Tree,Mexican,Tacos,La Sandia - Lone Tree,80124,CO,0,30
44973,10201 Jollyville Rd,"Mexican Restaurant,Restaurant",Austin,Mexican,Tacos,Manuel's,78759,TX,25,40
45042,3500 Ramona Blvd,Restaurant,Monterey Park,"Mexican, Seafood, Contemporary Mexican",Tacos,Luminarias,91754,CA,0,30
45972,1449 W Sunset Blvd,Restaurant,Los Angeles,"Mexican, Latin / Spanish, Bar / Lounge / Bottle Service",Tacos,El Compadre - Echo Park,90026,Edendale,0,30
46260,2121 E Craig Rd,Restaurant,North Las Vegas,Spanish,Tacos,Casa Cocina - Cannery Casino,89030,NV,0,30
47390,2535 Waukegan Rd,"Restaurants,Mexican Restaurant",Deerfield,Mexican,Tacos,San Gabriel Mexican Cafe,60015,IL,50,55
47484,965 S Riverside Dr,"Burrito Place,Mexican Restaurant",Iowa City,Mexican,Tacos,Pancheros Mexican Grill,52246,IA,0,25
47767,230 Lewis St S,"Mexican Restaurant,Restaurants",Shakopee,Mexican,Tacos,Pablo's Mexican Restaurant,55379,MN,25,40
47803,807 Tilton Rd,"Burrito Place,Mexican Restaurant,Restaurants",Northfield,Mexican,Tacos,Chido Burrito,8225,NJ,25,40
47812,4716 Santa Monica Blvd,"Taco Place,Mexican Restaurant,Restaurant,Latin American Restaurants,Restaurants,Taco Place and Mexican Restaurant,Taco Place and Mexican Restaurant East Hollywood,Mexican Restaurants",Los Angeles,Mexican Restaurants,Tacos,El Gran Burrito,90029,CA,25,40
48056,712 Centre Of New England Blvd,"Latin American Restaurants,Take Out Restaurants,Caterers,Restaurants,Mexican Restaurant,Bar & Grills,Mexican Restaurants",Coventry,Take Out Restaurants,Tacos,Cilantro Mexican Grill,2816,RI,0,25
48163,216 W Cabrillo Blvd,"American Restaurant,Restaurants,American Restaurant and Breakfast Spot,Breakfast Brunch & Lunch Restaurants,,Family Style Restaurants,Breakfast Spot",Santa Barbara,Restaurants,Tacos,Sambo's Restaurant,93101,CA,25,40
48246,311 Plainfield St,Mexican Restaurant,Providence,Latin American Restaurants,Tacos,El Rancho Grande,2909,RI,25,40
48297,4710 Limestone Rd,"Latin American Restaurants,Take Out Restaurants,American Restaurants,Caterers,Restaurants,Mexican Restaurant,Burrito Place,Bar & Grills,Mexican Restaurants",Wilmington,Mexican Restaurants,Tacos,Tierra Mexi Cali Grill,19808,DE,0,25
48437,20915 W Park Ave,"Restaurant,Restaurants,Breakfast Brunch & Lunch Restaurants,",Mundelein,Restaurants,Tacos,Crossroads of Ivanhoe,60060,IL,25,40
48454,5200 W 84th St,"Restaurants,Burrito Place and Mexican Restaurant,Burrito Place,Mexican Restaurant,Mexican Restaurants",Minneapolis,"Southwestern,Mexican,Mexican Restaurants",Tacos,Panchero's Mexican Grill,55437,MN,25,40
48553,2444 Wisconsin Ave NW,"Mexican Restaurant,Seafood Restaurant,Burrito Place,Restaurants,Rooftop,Californian Mexican Seafood",Washington,"Mexican,Seafood,Californian, Mexican, Seafood",Tacos,Surfside,20007,DC,25,40
49022,18600 Pioneer Blvd,"Vegetarian / Vegan Restaurant,Indian Restaurant",Artesia,Indian,Tacos,Standard Sweets & Snacks,90701,CA,0,25
49321,3989 Martha Berry Hwy N W,"Latin American Restaurants,Restaurant,Restaurants,Mexican Restaurant,Bar & Grills,Mexican Restaurants",Rome,Latin American Restaurants,Tacos,La Conquista,30165,GA,25,40
49627,7710 Forsyth Blvd,"Restaurant,Take Out Restaurants,Caterers,Restaurants,Mexican Restaurants",Saint Louis,Take Out Restaurants,Tacos,Cantina Laredo,63105,MO,25,40
51290,127 Weybosset St,"Mexican Restaurant,Burrito Place,Latin American Restaurants,Burrito Place and Mexican Restaurant Downtown Providence,Food and Beverage,Restaurants,Burrito Place and Mexican Restaurant,Bar & Grills,Mexican Restaurants",Providence,Latin American Restaurants,Tacos,Cilantro Mexican Grill,2903,RI,0,25
51331,2556 N Clark St,"Mexican Restaurant,Taco Place,Burrito Place",Chicago,Mexican Restaurants,Tacos,Angela's Burrito Style,60614,IL,0,25
51684,201 Gay St,"Mexican Restaurant,Latin American Restaurants,Restaurant,Caterers,Restaurants,Mexican Restaurants",Phoenixville,Mexican Restaurants,Tacos,Los Mariachis,19460,PA,25,40
51718,8176 S Wadsworth Blvd,"Mexican Restaurant,Mexican Restaurants,Latin American Restaurants,Restaurants",Littleton,Mexican Restaurants,Tacos,Tamale Kitchen,80128,CO,0,25
51719,8176 S Wadsworth Blvd,"Mexican Restaurant,Mexican Restaurants,Latin American Restaurants,Restaurants",Littleton,Mexican Restaurants,Tacos,Tamale Kitchen,80128,CO,0,25
51855,300 De Haro St,"Brazilian Restaurant,Restaurant,Restaurants,European Restaurants",San Francisco,"Contemporary American, Comfort Food, Vegetarian / Vegan",Tacos,Tavares,94103,CA,25,40
51952,4365 Pheasant Ridge Dr NE,"American Restaurant,Bar,Restaurant",Minneapolis,"American, Southwest",Tacos,Bonfire Wood Fire Cooking - Blaine,55449,MN,25,40
51953,4365 Pheasant Ridge Dr NE,"American Restaurant,Bar,Restaurant",Minneapolis,"American, Southwest",Tacos,Bonfire Wood Fire Cooking - Blaine,55449,MN,25,40
52061,3842 International Blvd,"Mexican Restaurant,Latin American Restaurants,Mexican Restaurant Saint Elizabeth,Caterers,Restaurants,Mexican Restaurants",Oakland,Mexican Restaurants,Tacos,El Huarache Azteca,94601,CA,25,40
52318,473 Massachusetts Ave,Restaurant,Arlington,"Mexican, Latin American, Latin / Spanish",Tacos,Acitron Cocina Mexicana,2474,MA,0,30
52322,473 Massachusetts Ave,Restaurant,Arlington,"Mexican, Latin American, Latin / Spanish",Tacos,Acitron Cocina Mexicana,2474,MA,0,30
52719,7408 Sunset Blvd,Restaurant,Los Angeles,"Mexican, Latin American",Tacos,El Compadre - Hollywood,90046,CA,0,30
53140,10051 Coors Blvd N W,Mexican Restaurant,Albuquerque,Mexican Restaurants,Tacos,Los Cuates,87114,Los Ranchos De Abq,25,40
54938,5621 W 135th St,Restaurant,Overland Park,"Latin American, Mexican / Southwestern, American",Tacos,Cocobolos Woodfired Grill & Cantina,66223,Stanley,0,30
55014,263 Morris Ave,"Mexican Restaurant,Restaurants",Springfield,"Latin American Restaurants,Mexican",Tacos,Picante A Taste of Mexico,7081,NJ,25,40
55054,17390 Haggerty Rd,"Burrito Place,Mexican Restaurant,Mexican Foods,Bars & Pubs,Southwestern Restaurants",Livonia,Mexican Restaurants,Tacos,Pancheros Mexican Grill,48152,MI,0,25
55613,12547 State Road 535,Restaurant,Orlando,"Mexican, Mexican / Southwestern, Contemporary Mexican",Tacos,Chevys - Lake Buena Vista,32836,FL,0,30
55685,10885 N Frank Lloyd Wright Blvd,"Mexican Restaurant,Restaurant",Scottsdale,"Mexican / Southwestern, Seafood, Steak",Tacos,Blue Adobe Grille,85259,AZ,0,30
55686,10885 N Frank Lloyd Wright Blvd,"Mexican Restaurant,Restaurant",Scottsdale,"Mexican / Southwestern, Seafood, Steak",Tacos,Blue Adobe Grille,85259,AZ,0,30
55748,107 W Main St,Mexican Restaurant,Kutztown,Latin American Restaurants,Tacos,La Cocina Mexicana,19530,Grimville,25,40
55851,6642 Timberline Rd,Mexican Restaurant,Littleton,Latin American Restaurants,Tacos,Tamale Kitchen,80130,CO,0,25
56220,2129 Forest Dr,"Latin American Restaurant,restaurants",Annapolis,Cuban,Tacos,Sin Fronteras,21401,MD,25,40
57790,222 S Palm Canyon Dr,"Mexican Restaurant,Bar",Palm Springs,Take Out Restaurants,Tacos,Las Casuelas Terraza,92262,Palm Springs Municipal Airpo,50,55
59424,1510 S Disneyland Dr,"Latin American Restaurants,Restaurants,Mexican Restaurant,Mexican Restaurants,Food & Drink Shop,Food Drink Shop",Anaheim,Mexican Restaurants,Tacos,Taqueria,92802,CA,0,25
59470,213 Maple Ave E,"Mexican Restaurant,Burrito Place,Taco Place,Mexican Restaurant, Burrito Place, and Taco Place",Vienna,Fast Food Restaurants,Tacos,Chipotle Mexican Grill,22180,VA,0,25
60748,594 Benfield Rd,"Restaurant,Mexican Restaurant",Severna Park,Mexican,Tacos,Rivera's Mexican Cafe,21146-2530,MD,25,40
62186,659 Valencia St,"Restaurants,Indian Restaurant,Restaurant,Indian Restaurants",San Francisco,"Indian,Indian Restaurants",Tacos,Curry Up Now,94110,CA,25,40
62407,850 Grand Ave,Restaurant,Saint Paul,"American, Tex-Mex, Southwest",Tacos,Bonfire Wood Fire Cooking ï¿½ï¿½ï¿½ St. Paul,55105,MN,0,30
62480,485 Columbus Ave,"Southwestern,Mexican Restaurant Upper West Side,Beverages-Distributors & Bottlers,Mexican Restaurant,Restaurants,Beverages Retail,Southwestern Restaurants",New York,Southwestern,Tacos,Cilantro,10024,Nyc,25,40
62517,82 Fort Point St,"Restaurants,Catering,Taco Place",Norwalk,"Mexican,Mexican Restaurants",Tacos,Tacos Mexico,6855,CT,0,25
62756,5665 Power Inn Rd,Restaurants,Sacramento,Mexican,Tacos,Chamdo's Tacos,95824,CA,0,25
63400,2585 Cochran St,"American Restaurant,Caf,Cafï¿½ï¿½,CafÃ©,Restaurants,Cafeterias,Breakfast Brunch & Lunch Restaurants,,Take Out Restaurants,Caterers",Simi Valley,Restaurants,Tacos,The Junkyard Cafe,93065,CA,25,40
63401,2585 Cochran St,"American Restaurant,Caf,Cafï¿½ï¿½,CafÃ©,Restaurants,Cafeterias,Breakfast Brunch & Lunch Restaurants,,Take Out Restaurants,Caterers",Simi Valley,Restaurants,Tacos,The Junkyard Cafe,93065,CA,25,40
63465,2601 W Hampden Ave,Restaurant,Englewood,Bar,Tacos,Hawley's Tavern and Grill,80110,Cherry Hl Vlg,0,25
64465,1215 San Elijo Rd,"Caf,Spanish Restaurant,Breakfast Spot,Restaurant",San Marcos,American,Tacos,Cafe Stoked,92078,CA,25,40
65486,7105 Colonel Glenn Rd,"Diner,Restaurant",Little Rock,American,Tacos,Asher Dairy Bar,72204,AR,0,25
65498,300 Harrison Ave,Mexican Restaurant,New Orleans,Latin American Restaurants,Tacos,El Gato Negro,70124,LA,25,40
65599,690 W Dekalb Pike,Restaurant,King Of Prussia,Mexican,Tacos,Cantina Laredo - King of Prussia,19406,PA,0,30
66708,430 Newport Ave,"Mexican Restaurants,Latin American Restaurants,Caterers,Bar & Grills,Restaurants,Mexican Restaurant",Rumford,Mexican Restaurants,Tacos,Cilantro Mexican Grill,2916,RI,0,25
66806,7852L Tysons Corner Ctr,Restaurant,Mc Lean,Mexican,Tacos,La Sandia,22102,Tysons Corner,0,30
67420,921 Lititz Pike,"Take Out Restaurants,American Restaurant,Bars,American Restaurants,Restaurant,Restaurants,Bar,Family Style Restaurants,Bar & Grills,American Restaurant and Bar,Taverns",Lititz,Take Out Restaurants,Tacos,Scooter's Restaurant & Bar,17543,Fairland,25,40
67524,948 Atwells Ave,"Fast Food Restaurants,Restaurant,Restaurants,Family Restaurants,Mexican Restaurant,Restaurant and Mexican Restaurant,Mexican Restaurants,Restaurant Menus",Providence,Family Style Restaurants,Tacos,Restaurant Mexico Garibaldi,2909,RI,25,40
68451,1424 Weir Dr,"American Restaurant,Restaurant",Saint Paul,"American, Southwest",Tacos,Bonfire Wood Fire Cooking - Woodbury,55125,MN,0,30
68648,601 King St,"Mexican Restaurant,Burrito Place,Taco Place,Take Out Restaurants,Fast Food Restaurants,Restaurants,Mexican Restaurant, Burrito Place, and Taco Place Old Town,Mexican Restaurants,Mexican Restaurant, Burrito Place, and Taco Place",Alexandria,Mexican Restaurants,Tacos,Chipotle Mexican Grill,22314,VA,0,25
68938,8759 Northpark Ct,"Burrito Place,Mexican Restaurant,Burrito Place and Mexican Restaurant",Johnston,Restaurants,Tacos,Pancheros Mexican Grill,50131,IA,25,40
68974,1242 W Foxwood Dr,American Restaurant and Bar,Raymore,Barbecue,Tacos,The Pit Grill and Bar,64083,MO,25,40
69069,364 W Lake Dr,"Mexican Restaurant,Breakfast Spot,Mexican Restaurant and Breakfast Spot",Montauk,Mexican Restaurants,Tacos,The Hideaway,11954,NY,25,40
69288,4310 W Magnolia Blvd,"Mexican Restaurant,Restaurant",Burbank,"Mexican, Regional Mexican, Latin / Spanish",Tacos,Tequilas Cantina and Grill,91505,CA,25,40
69410,1221 W Omaha St,Restaurants,Rapid City,Mexican,Tacos,Panchero's Mexican Grill,57701,Old Town,25,40
69693,2720 N Clark St,"Diner,Restaurant,Diner Park West",Chicago,American,Tacos,The Edge Bar & Grill,60614,IL,25,40
69813,310 Congress Ave,"Restaurants,Restaurant",Austin,"Mexican, Contemporary Mexican, Vegetarian",Tacos,Manuel's Downtown,78701,TX,0,30
70161,2701 Bergen Town Ctr,"Burrito Place,Mexican Restaurant",Paramus,Mexican Restaurants,Tacos,Qdoba Mexican Grill,7652,NJ,25,40
72601,8340 E 49th,Restaurant,Denver,Mexican,Tacos,La Sandia Stapleton,80238,CO,0,30
73033,E Arizona Biltmore 2400 Missouri,"Restaurant,casual dining,casual elegant,restaurants",Phoenix,Contemporary American,Tacos,Frank & Alberts,85016,AZ,0,30
73582,311 Washington Blvd,Restaurant,Marina Del Rey,"Mexican, Traditional Mexican",Tacos,Baja Cantina - Marina Del Rey,90292,CA,0,30
73737,3545 Las Vegas Blvd,Restaurant,Las Vegas,"Mexican, Tapas / Small Plates, Bar / Lounge / Bottle Service",Tacos,Chayo Mexican Kitchen + Tequila Bar,89109,NV,0,30
74488,10201 Jollyville Rd,"Restaurants,Restaurant",Austin,Mexican,Tacos,Manuel's Great Hills,78759,TX,0,30
75191,7110 Railroad Ave,Mexican Restaurant,Bellevue,Take Out Restaurants,Tacos,Nettie's Fine Mexican Food,68147,NE,25,40
75547,150 E Park Ave,Restaurant,Schwenksville,"American, Comfort Food",Tacos,Woodside Lodge,19473,Fruitville,0,30
75829,208 S Broadway,Mexican Restaurant,Saratoga Springs,Mexican,Tacos,El Mexicano,12866,NY,25,40
75907,30 S Prospect,Restaurant,Clarendon Hills,Mexican,Tacos,Aguamiel Mexican - Clarendon Hills,60514,IL,0,30
75963,14889 Florence Tr,Restaurant,Saint Paul,American,Tacos,Valley Tap House,55124,MN,0,30
75993,2987 Main St,American Restaurant and Caf,Mammoth Lakes,American Restaurants,Tacos,Breakfast Club,93546,Lake Mary,0,25
76189,10250 Santa Monica Blvd,Restaurant,Los Angeles,"Mexican, Mexican / Southwestern",Tacos,Pink Taco - Los Angeles,90067,CA,0,30
76363,1063 1st Ave,Restaurants,New York,Mexican,Tacos,Rosa Mexicano,10022,Manhattan,50,55
76398,3830 W Lawrence Ave,"Latin American Restaurant,Restaurant",Chicago,South American,Tacos,Mayan Sol Latin Grill,60625,IL,0,30
76402,26 Chandler St,"Cocktail Bar,Gay Bar,American Restaurant,Restaurant",Boston,"Fusion / Eclectic, Bar / Lounge / Bottle Service, American",Tacos,Trophy Room,2116,MA,0,30
76547,3545 Las Vegas Blvd S,"American Restaurant,Bar,Restaurant,American Restaurant and Bar The Strip",Las Vegas,"Contemporary American, Steakhouse, Italian",Tacos,Off The Strip at The LINQ,89109,NV,25,40
76856,400 N Jackson St,American Restaurant,Greencastle,American,Tacos,Putnam Inn,46135,Manhattan,25,40
